"Ключ";"Количество";"слов";"Частотность";"все";"регионы";"[!Частотность]";"все";"регионы";"Частотность";"по";"региону";"Частотность";"по";"региону";"[!Частотность]";"по";"региону";"Минимальная";"ставка";"в";"директе";"Результатов";"в";"выдаче";"Главных";"страниц";"в";"топ";10;"Главных";"страниц";"в";"топ";50;"Директ";"показы";"первый премиум";"Директ";"клики";"первый премиум";"Директ";"ставка";"первый премиум";"Директ";"бюджет";"первый премиум";"Директ";"ctr";"первый премиум";"Директ";"ставка";"по";"бюджету";"первый премиум";"Директ";"показы";"премиум";"Директ";"клики";"премиум";"Директ";"ставка";"премиум";"Директ";"бюджет";"премиум";"Директ";"ctr";"премиум";"Директ";"ставка";"по";"бюджету";"премиум";"Директ";"показы";"первый стандарт";"Директ";"клики";"первый стандарт";"Директ";"ставка";"первый стандарт";"Директ";"бюджет";"первый стандарт";"Директ";"ctr";"первый стандарт";"Директ";"ставка";"по";"бюджету";"первый стандарт";"Директ";"показы";"гарантия";"Директ";"клики";"гарантия";"Директ";"ставка";"гарантия";"Директ";"бюджет";"гарантия";"Директ";"ctr";"гарантия";"Директ";"ставка";"по";"бюджету";"гарантия"
"сколько стоит сертификация детской одежды";5;8;4;4;3;3;"90,5";26000000;0;0;2;2;"696,4";"53";"1";"26,5";2;2;"90,5";"13";"1";"6,5";2;2;"138,3";"0,6";"1";"0,3";2;2;"138,3";"0,6";"1";"0,3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"сертификация детской одежды цена";4;11;5;3;3;3;"0,3";26000000;0;0;0;0;"0,3";"0";"0";"0";0;0;"0,3";"0";"0";"0";0;0;"0,3";"0";"0";"0";0;0;"0,3";"0";"0";"0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"сертификация одежды для ип в москве";6;7;7;2;2;2;"0,3";15000000;0;1;0;0;"0,3";"0";"0";"0";0;0;"0,3";"0";"0";"0";0;0;"0,3";"0";"0";"0";0;0;"0,3";"0";"0";"0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"сертификация детской одежды собственного производства";5;61;24;3;2;2;"30,4";22000000;0;0;3;2;"108,1";"6,6";"0,6666999816894531";"3,3";2;2;"30,4";"1,2";"1";"0,6";2;2;"53,2";"0,2";"1";"0,1";2;2;"53,2";"0,2";"1";"0,1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"сертификация одежды для вайлдберриз";4;20;11;5;4;2;"0,3";5000000;0;2;0;0;"0,3";"0";"0";"0";0;0;"0,3";"0";"0";"0";0;0;"0,3";"0";"0";"0";0;0;"0,3";"0";"0";"0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"сколько стоит сертификация одежды";4;31;6;11;2;2;"60,1";22000000;0;0;3;2;"218,7";"29,6";"0,6666999816894531";"14,8";3;2;"111,5";"3,8";"0,6666999816894531";"1,9";2;2;"60,1";"0,2";"1";"0,1";2;2;"60,1";"0,2";"1";"0,1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"подлежит ли сертификации одежда";4;48;3;15;4;2;"0,3";13000000;0;0;0;0;"0,3";"0";"0";"0";0;0;"0,3";"0";"0";"0";0;0;"0,3";"0";"0";"0";0;0;"0,3";"0";"0";"0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"сертификация одежды из китая";4;18;7;3;2;2;"0,3";18000000;0;1;0;0;"0,3";"0";"0";"0";0;0;"0,3";"0";"0";"0";0;0;"0,3";"0";"0";"0";0;0;"0,3";"0";"0";"0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"сертификация одежды для детей";4;43;36;4;2;2;"0,3";16000000;0;0;0;0;"0,3";"0";"0";"0";2;2;"117,5";"0,8";"1";"0,4";0;0;"0,3";"0";"0";"0";0;0;"0,3";"0";"0";"0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"сертификация верхней одежды";3;29;3;9;1;1;"0,3";11000000;0;0;0;0;"0,3";"0";"0";"0";0;0;"0,3";"0";"0";"0";0;0;"0,3";"0";"0";"0";0;0;"0,3";"0";"0";"0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"одежда сертификация";2;1659;4;408;51;1;"75,7";16000000;0;0;71;5;"3827,3";"823";"0,07039999961853027";"164,6";69;4;"888,6";"438";"0,058000001907348636";"109,5";49;2;"327,2";"8,2";"0,04079999923706055";"4,1";47;2;"75,7";"3,6";"0,042600002288818356";"1,8";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"детская одежда подлежит обязательной сертификации";5;26;1;2;1;1;"0,3";18000000;0;0;0;0;"0,3";"0";"0";"0";0;0;"0,3";"0";"0";"0";0;0;"0,3";"0";"0";"0";0;0;"0,3";"0";"0";"0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"детская одежда подлежит сертификации";4;17;3;4;1;1;"75,8";7000000;0;0;3;2;"605,1";"13,2";"0,6666999816894531";"6,6";2;2;"75,8";"3";"1";"1,5";2;2;"101,1";"0,2";"1";"0,1";2;2;"101,1";"0,2";"1";"0,1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"обязательна ли сертификация одежды";4;53;2;13;1;1;"70,3";17000000;0;0;3;2;"96,2";"4";"0,6666999816894531";"2";2;2;"70,3";"2";"1";"1";2;2;"77,9";"0,2";"1";"0,1";2;2;"77,9";"0,2";"1";"0,1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"сертификация детской одежды собственного производства в россии";7;10;9;1;1;1;"0,3";22000000;0;0;0;0;"0,3";"0";"0";"0";0;0;"0,3";"0";"0";"0";0;0;"0,3";"0";"0";"0";0;0;"0,3";"0";"0";"0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"сертификация одежды 2 слой";4;14;1;2;1;1;"0,3";26000000;0;0;0;0;"0,3";"0";"0";"0";0;0;"0,3";"0";"0";"0";0;0;"0,3";"0";"0";"0";0;0;"0,3";"0";"0";"0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"сертификация медицинской одежды";3;39;5;3;1;1;"42";16000000;0;0;6;2;"1176,7";"40,2";"0,3333000183105469";"20,1";5;2;"118,1";"4";"0,4";"2";3;2;"70,2";"0,6";"0,6666999816894531";"0,3";2;2;"42";"0,2";"1";"0,1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"одежда подлежит обязательной сертификации";4;66;2;21;9;1;"96,3";10000000;0;0;3;2;"139,9";"9,6";"0,6666999816894531";"4,8";3;2;"96,3";"2,2";"0,6666999816894531";"1,1";3;2;"127,5";"0,2";"0,6666999816894531";"0,1";3;2;"127,5";"0,2";"0,6666999816894531";"0,1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"сертификация детской одежды собственного производства в россии цена";8;9;1;1;1;1;"0,3";30000000;0;0;0;0;"0,3";"0";"0";"0";0;0;"0,3";"0";"0";"0";0;0;"0,3";"0";"0";"0";0;0;"0,3";"0";"0";"0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"подлежит ли одежда обязательной сертификации";5;27;6;5;1;1;"95,8";18000000;0;0;3;2;"118,5";"1,2";"0,6666999816894531";"0,6";3;2;"118,5";"1,2";"0,6666999816894531";"0,6";2;2;"95,8";"0,2";"1";"0,1";2;2;"95,8";"0,2";"1";"0,1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"сертификация детской одежды собственного производства цена";6;9;1;2;0;1;"0,3";35000000;0;0;0;0;"0,3";"0";"0";"0";0;0;"0,3";"0";"0";"0";0;0;"0,3";"0";"0";"0";0;0;"0,3";"0";"0";"0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"сертификация одежды нужна ли";4;66;1;21;1;1;"0,3";15000000;0;0;2;2;"101,7";"1,6";"1";"0,8";2;2;"101,7";"1,6";"1";"0,8";0;0;"0,3";"0";"0";"0";0;0;"0,3";"0";"0";"0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"сертификация спортивной одежды";3;16;5;2;1;1;"0,3";9000000;0;1;0;0;"0,3";"0";"0";"0";0;0;"0,3";"0";"0";"0";0;0;"0,3";"0";"0";"0";0;0;"0,3";"0";"0";"0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"как проходит сертификация одежды";4;8;1;0;1;0;"0,3";11000000;0;0;0;0;"0,3";"0";"0";"0";0;0;"0,3";"0";"0";"0";0;0;"0,3";"0";"0";"0";0;0;"0,3";"0";"0";"0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"что нужно для сертификации одежды";5;1;1;0;0;0;"0,3";12000000;0;0;0;0;"0,3";"0";"0";"0";0;0;"0,3";"0";"0";"0";0;0;"0,3";"0";"0";"0";0;0;"0,3";"0";"0";"0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"сертификация женской одежды";3;30;3;8;0;0;"0,3";16000000;0;0;0;0;"0,3";"0";"0";"0";0;0;"0,3";"0";"0";"0";0;0;"0,3";"0";"0";"0";0;0;"0,3";"0";"0";"0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"детская одежда сертификация";3;439;7;86;29;0;"78,8";14000000;0;0;17;3;"2819,4";"292,8";"0,17649999618530274";"97,6";17;3;"2755";"292,8";"0,17649999618530274";"97,6";11;2;"279,7";"5";"0,1818000030517578";"2,5";11;2;"78,8";"1";"0,1818000030517578";"0,5";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"спортивная одежда сертификация";3;16;1;2;1;0;"0,3";10000000;0;0;0;0;"0,3";"0";"0";"0";0;0;"0,3";"0";"0";"0";0;0;"0,3";"0";"0";"0";0;0;"0,3";"0";"0";"0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"обязательная сертификация детской одежды";4;150;2;5;1;0;"0,3";10000000;0;0;0;0;"0,3";"0";"0";"0";0;0;"0,3";"0";"0";"0";0;0;"0,3";"0";"0";"0";0;0;"0,3";"0";"0";"0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"сертификация домашней одежды";3;5;3;1;0;0;"0,3";18000000;0;0;0;0;"0,3";"0";"0";"0";0;0;"0,3";"0";"0";"0";0;0;"0,3";"0";"0";"0";0;0;"0,3";"0";"0";"0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"одежда подлежащая обязательной сертификации";4;66;2;20;0;0;"96,3";9000000;0;0;3;2;"139,9";"9,6";"0,6666999816894531";"4,8";3;2;"96,3";"2,2";"0,6666999816894531";"1,1";3;2;"127,5";"0,2";"0,6666999816894531";"0,1";3;2;"127,5";"0,2";"0,6666999816894531";"0,1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"сертификация одежды в россии";4;66;2;13;0;0;"0,3";16000000;0;0;7;2;"668";"59,4";"0,28569999694824216";"29,7";7;2;"120,4";"12,8";"0,28569999694824216";"6,4";0;0;"0,3";"0";"0";"0";0;0;"0,3";"0";"0";"0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"сертификация одежды москва";3;11;1;4;0;0;"0,3";13000000;0;0;0;0;"0,3";"0";"0";"0";0;0;"0,3";"0";"0";"0";0;0;"0,3";"0";"0";"0";0;0;"0,3";"0";"0";"0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"сертификация одежды цена";3;88;19;10;0;0;"0,3";24000000;0;0;2;2;"835,9";"12,4";"1";"6,2";2;2;"85,8";"4";"1";"2";0;0;"0,3";"0";"0";"0";0;0;"0,3";"0";"0";"0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"стоимость сертификации одежды";3;47;3;6;1;0;"0,3";18000000;0;0;2;2;"899";"24,6";"1";"12,3";2;2;"83";"8,2";"1";"4,1";0;0;"0,3";"0";"0";"0";0;0;"0,3";"0";"0";"0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"подлежит ли одежда обязательной сертификации 2020";6;1;1;0;1;0;"0,3";25000000;0;0;0;0;"0,3";"0";"0";"0";0;0;"0,3";"0";"0";"0";0;0;"0,3";"0";"0";"0";0;0;"0,3";"0";"0";"0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"одежда сертификация";98;10;2;1659;4;408;51;1;"7570";16000000;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"сертифицировать одежду";86;8;2;1200;2;156;0;0;"30";13000000;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"сертификация женской одежды";86;8;3;30;3;8;0;0;"30";16000000;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"сертификация верхней одежды";85;8;3;29;3;9;1;1;"30";11000000;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"обязательная сертификация одежды";81;7;3;160;5;38;4;4;"30";20000000;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"сертификат на женскую одежду";80;8;4;60;5;10;0;0;"30";11000000;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"сертификат качества одежды";80;8;3;146;1;28;1;1;"30";21000000;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"сертификация одежды для ип";80;7;4;49;20;7;6;3;"4130";17000000;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"сертификат качества на одежду";79;8;4;126;12;32;6;5;"4170";20000000;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"сертификация одежды собственного производства";79;8;4;207;74;29;17;17;"7600";22000000;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"сертификация одежды в россии";75;6;4;66;2;13;0;0;"30";16000000;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"сертификат на одежду собственного производства";74;7;5;70;11;21;6;6;"30";17000000;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"сертификаты на женскую одежду";74;7;4;56;2;20;0;0;"30";19000000;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"получить сертификат на одежду собственного производства";74;7;6;33;2;6;0;0;"30";19000000;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"какая одежда подлежит обязательной сертификации";73;5;5;12;4;5;4;3;"30";8000000;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"сертифицированная одежда";72;7;2;2411;3;192;1;0;"30";15000000;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
